country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","10-10-2025 22:00:00",25.03280,85.41948,OZONE,29,33,32
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","10-10-2025 22:00:00",25.859655,85.77944,CO,21,33,26
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","10-10-2025 22:00:00",25.586562,85.043586,OZONE,19,64,45
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","10-10-2025 22:00:00",25.592539,85.227158,CO,17,32,26
India,Bihar,Patna,"Muradpur, Patna - BSPCB","10-10-2025 22:00:00",25.619651,85.147382,CO,36,69,49
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","10-10-2025 22:00:00",25.599486,85.113666,SO2,6,9,7
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","10-10-2025 22:00:00",24.952822,84.002396,NO2,2,4,2
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","10-10-2025 22:00:00",24.952822,84.002396,CO,38,64,53
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","10-10-2025 22:00:00",26.1403345,85.3650192,SO2,NA,NA,NA
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","10-10-2025 22:00:00",25.610369,85.132568,SO2,1,24,15
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","10-10-2025 22:00:00",25.610369,85.132568,PM2.5,NA,NA,NA
India,Bihar,Munger,"Town Hall, Munger - BSPCB","10-10-2025 22:00:00",25.376776,86.471523,CO,26,36,30
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","10-10-2025 22:00:00",21.185571,81.343175,NH3,3,3,3
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","10-10-2025 22:00:00",21.224231,81.408350,CO,9,31,21
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","10-10-2025 22:00:00",22.118125,83.140608,NH3,NA,NA,NA
