value,parameter.name,parameter.units,period.datetimeFrom.utc
300.0,pm25,µg/m³,2016-11-02T17:30:00Z
93.0,pm25,µg/m³,2016-11-03T10:45:00Z
93.0,pm25,µg/m³,2016-11-03T11:00:00Z
93.0,pm25,µg/m³,2016-11-03T11:15:00Z
93.0,pm25,µg/m³,2016-11-03T11:30:00Z
135.0,pm25,µg/m³,2016-11-03T11:45:00Z
136.0,pm25,µg/m³,2016-11-03T12:00:00Z
136.0,pm25,µg/m³,2016-11-03T12:15:00Z
136.0,pm25,µg/m³,2016-11-03T12:30:00Z
190.0,pm25,µg/m³,2016-11-03T12:45:00Z
192.0,pm25,µg/m³,2016-11-03T13:00:00Z
192.0,pm25,µg/m³,2016-11-03T13:15:00Z
192.0,pm25,µg/m³,2016-11-03T13:30:00Z
204.0,pm25,µg/m³,2016-11-03T13:45:00Z
205.0,pm25,µg/m³,2016-11-03T14:00:00Z
205.0,pm25,µg/m³,2016-11-03T14:15:00Z
205.0,pm25,µg/m³,2016-11-03T14:30:00Z
228.0,pm25,µg/m³,2016-11-03T14:45:00Z
229.0,pm25,µg/m³,2016-11-03T15:00:00Z
229.0,pm25,µg/m³,2016-11-03T15:15:00Z
229.0,pm25,µg/m³,2016-11-03T15:30:00Z
278.0,pm25,µg/m³,2016-11-03T15:45:00Z
280.0,pm25,µg/m³,2016-11-03T16:00:00Z
280.0,pm25,µg/m³,2016-11-03T16:15:00Z
280.0,pm25,µg/m³,2016-11-03T16:30:00Z
300.0,pm25,µg/m³,2016-11-03T16:45:00Z
300.0,pm25,µg/m³,2016-11-03T17:00:00Z
300.0,pm25,µg/m³,2016-11-03T17:15:00Z
269.0,pm25,µg/m³,2016-11-03T17:45:00Z
268.0,pm25,µg/m³,2016-11-03T18:00:00Z
268.0,pm25,µg/m³,2016-11-03T18:15:00Z
268.0,pm25,µg/m³,2016-11-03T18:30:00Z
285.0,pm25,µg/m³,2016-11-03T18:45:00Z
286.0,pm25,µg/m³,2016-11-03T19:00:00Z
286.0,pm25,µg/m³,2016-11-03T19:15:00Z
286.0,pm25,µg/m³,2016-11-03T19:30:00Z
356.0,pm25,µg/m³,2016-11-03T19:45:00Z
358.0,pm25,µg/m³,2016-11-03T20:00:00Z
358.0,pm25,µg/m³,2016-11-03T20:15:00Z
358.0,pm25,µg/m³,2016-11-03T20:30:00Z
366.0,pm25,µg/m³,2016-11-03T21:45:00Z
366.0,pm25,µg/m³,2016-11-03T22:00:00Z
366.0,pm25,µg/m³,2016-11-03T22:15:00Z
366.0,pm25,µg/m³,2016-11-03T22:30:00Z
437.0,pm25,µg/m³,2016-11-03T22:45:00Z
439.0,pm25,µg/m³,2016-11-03T23:00:00Z
439.0,pm25,µg/m³,2016-11-03T23:15:00Z
439.0,pm25,µg/m³,2016-11-03T23:30:00Z
388.0,pm25,µg/m³,2016-11-03T23:45:00Z
387.0,pm25,µg/m³,2016-11-04T00:00:00Z
387.0,pm25,µg/m³,2016-11-04T00:15:00Z
387.0,pm25,µg/m³,2016-11-04T00:30:00Z
433.0,pm25,µg/m³,2016-11-04T00:45:00Z
435.0,pm25,µg/m³,2016-11-04T01:00:00Z
435.0,pm25,µg/m³,2016-11-04T01:15:00Z
435.0,pm25,µg/m³,2016-11-04T01:30:00Z
434.0,pm25,µg/m³,2016-11-04T07:45:00Z
413.0,pm25,µg/m³,2016-11-04T08:00:00Z
413.0,pm25,µg/m³,2016-11-04T08:15:00Z
413.0,pm25,µg/m³,2016-11-04T08:30:00Z
462.0,pm25,µg/m³,2016-11-04T08:45:00Z
463.0,pm25,µg/m³,2016-11-04T09:00:00Z
463.0,pm25,µg/m³,2016-11-04T09:15:00Z
463.0,pm25,µg/m³,2016-11-04T09:30:00Z
468.0,pm25,µg/m³,2016-11-04T09:45:00Z
468.0,pm25,µg/m³,2016-11-04T10:00:00Z
468.0,pm25,µg/m³,2016-11-04T10:15:00Z
468.0,pm25,µg/m³,2016-11-04T10:30:00Z
434.0,pm25,µg/m³,2016-11-04T10:45:00Z
432.0,pm25,µg/m³,2016-11-04T11:00:00Z
432.0,pm25,µg/m³,2016-11-04T11:15:00Z
432.0,pm25,µg/m³,2016-11-04T11:30:00Z
460.0,pm25,µg/m³,2016-11-04T11:45:00Z
461.0,pm25,µg/m³,2016-11-04T12:00:00Z
461.0,pm25,µg/m³,2016-11-04T12:15:00Z
461.0,pm25,µg/m³,2016-11-04T12:30:00Z
524.0,pm25,µg/m³,2016-11-04T12:45:00Z
526.0,pm25,µg/m³,2016-11-04T13:00:00Z
526.0,pm25,µg/m³,2016-11-04T13:15:00Z
526.0,pm25,µg/m³,2016-11-04T13:30:00Z
526.0,pm25,µg/m³,2016-11-04T13:45:00Z
880.9,pm25,µg/m³,2016-11-05T06:00:00Z
880.9,pm25,µg/m³,2016-11-05T06:15:00Z
880.9,pm25,µg/m³,2016-11-05T06:30:00Z
976.0,pm25,µg/m³,2016-11-05T06:45:00Z
979.4,pm25,µg/m³,2016-11-05T07:15:00Z
979.4,pm25,µg/m³,2016-11-05T07:30:00Z
901.2,pm25,µg/m³,2016-11-05T07:45:00Z
898.4,pm25,µg/m³,2016-11-05T08:00:00Z
898.4,pm25,µg/m³,2016-11-05T08:15:00Z
898.4,pm25,µg/m³,2016-11-05T08:30:00Z
996.5,pm25,µg/m³,2016-11-05T08:45:00Z
933.5,pm25,µg/m³,2016-11-06T01:45:00Z
931.1,pm25,µg/m³,2016-11-06T02:00:00Z
931.1,pm25,µg/m³,2016-11-06T02:30:00Z
880.1,pm25,µg/m³,2016-11-06T02:45:00Z
878.3,pm25,µg/m³,2016-11-06T03:00:00Z
878.3,pm25,µg/m³,2016-11-06T03:15:00Z
878.3,pm25,µg/m³,2016-11-06T03:30:00Z
687.0,pm25,µg/m³,2016-11-06T03:45:00Z
680.2,pm25,µg/m³,2016-11-06T04:00:00Z
680.2,pm25,µg/m³,2016-11-06T04:15:00Z
680.2,pm25,µg/m³,2016-11-06T04:30:00Z
774.0,pm25,µg/m³,2016-11-06T04:45:00Z
777.4,pm25,µg/m³,2016-11-06T05:00:00Z
777.4,pm25,µg/m³,2016-11-06T05:15:00Z
777.4,pm25,µg/m³,2016-11-06T05:30:00Z
922.2,pm25,µg/m³,2016-11-06T05:45:00Z
927.4,pm25,µg/m³,2016-11-06T06:00:00Z
927.4,pm25,µg/m³,2016-11-06T06:15:00Z
927.4,pm25,µg/m³,2016-11-06T06:30:00Z
997.5,pm25,µg/m³,2016-11-06T06:45:00Z
707.1,pm25,µg/m³,2016-11-07T04:45:00Z
696.5,pm25,µg/m³,2016-11-07T05:00:00Z
696.5,pm25,µg/m³,2016-11-07T05:15:00Z
696.5,pm25,µg/m³,2016-11-07T05:30:00Z
338.7,pm25,µg/m³,2016-11-07T05:45:00Z
325.9,pm25,µg/m³,2016-11-07T06:00:00Z
325.9,pm25,µg/m³,2016-11-07T06:15:00Z
325.9,pm25,µg/m³,2016-11-07T06:30:00Z
261.9,pm25,µg/m³,2016-11-07T06:45:00Z
189.8,pm25,µg/m³,2016-11-07T08:00:00Z
189.8,pm25,µg/m³,2016-11-07T08:15:00Z
189.8,pm25,µg/m³,2016-11-07T08:30:00Z
139.7,pm25,µg/m³,2016-11-07T08:45:00Z
137.9,pm25,µg/m³,2016-11-07T09:00:00Z
137.9,pm25,µg/m³,2016-11-07T09:15:00Z
137.9,pm25,µg/m³,2016-11-07T09:30:00Z
114.5,pm25,µg/m³,2016-11-07T09:45:00Z
113.7,pm25,µg/m³,2016-11-07T10:00:00Z
113.7,pm25,µg/m³,2016-11-07T10:15:00Z
113.7,pm25,µg/m³,2016-11-07T10:30:00Z
117.3,pm25,µg/m³,2016-11-07T10:45:00Z
117.4,pm25,µg/m³,2016-11-07T11:00:00Z
117.4,pm25,µg/m³,2016-11-07T11:15:00Z
117.4,pm25,µg/m³,2016-11-07T11:30:00Z
155.9,pm25,µg/m³,2016-11-07T11:45:00Z
157.3,pm25,µg/m³,2016-11-07T12:00:00Z
157.3,pm25,µg/m³,2016-11-07T12:15:00Z
157.3,pm25,µg/m³,2016-11-07T12:30:00Z
228.5,pm25,µg/m³,2016-11-07T12:45:00Z
231.1,pm25,µg/m³,2016-11-07T13:00:00Z
231.1,pm25,µg/m³,2016-11-07T13:15:00Z
231.1,pm25,µg/m³,2016-11-07T13:30:00Z
274.6,pm25,µg/m³,2016-11-07T13:45:00Z
276.2,pm25,µg/m³,2016-11-07T14:00:00Z
276.2,pm25,µg/m³,2016-11-07T14:15:00Z
276.2,pm25,µg/m³,2016-11-07T14:30:00Z
391.9,pm25,µg/m³,2016-11-07T14:45:00Z
396.0,pm25,µg/m³,2016-11-07T15:00:00Z
396.0,pm25,µg/m³,2016-11-07T15:15:00Z
396.0,pm25,µg/m³,2016-11-07T15:30:00Z
532.6,pm25,µg/m³,2016-11-07T15:45:00Z
537.5,pm25,µg/m³,2016-11-07T16:00:00Z
537.5,pm25,µg/m³,2016-11-07T16:15:00Z
537.5,pm25,µg/m³,2016-11-07T16:30:00Z
647.4,pm25,µg/m³,2016-11-07T16:45:00Z
651.3,pm25,µg/m³,2016-11-07T17:00:00Z
651.3,pm25,µg/m³,2016-11-07T17:15:00Z
791.5,pm25,µg/m³,2016-11-07T18:30:00Z
665.8,pm25,µg/m³,2016-11-07T18:45:00Z
661.3,pm25,µg/m³,2016-11-07T19:00:00Z
661.3,pm25,µg/m³,2016-11-07T19:15:00Z
661.3,pm25,µg/m³,2016-11-07T19:30:00Z
634.0,pm25,µg/m³,2016-11-07T19:45:00Z
633.0,pm25,µg/m³,2016-11-07T20:00:00Z
633.0,pm25,µg/m³,2016-11-07T20:15:00Z
633.0,pm25,µg/m³,2016-11-07T20:30:00Z
704.3,pm25,µg/m³,2016-11-07T20:45:00Z
706.9,pm25,µg/m³,2016-11-07T21:00:00Z
706.9,pm25,µg/m³,2016-11-07T21:15:00Z
706.9,pm25,µg/m³,2016-11-07T21:30:00Z
679.1,pm25,µg/m³,2016-11-07T21:45:00Z
678.1,pm25,µg/m³,2016-11-07T22:00:00Z
678.1,pm25,µg/m³,2016-11-07T22:15:00Z
678.1,pm25,µg/m³,2016-11-07T22:30:00Z
669.6,pm25,µg/m³,2016-11-07T22:45:00Z
669.3,pm25,µg/m³,2016-11-07T23:00:00Z
669.3,pm25,µg/m³,2016-11-07T23:15:00Z
669.3,pm25,µg/m³,2016-11-07T23:30:00Z
647.7,pm25,µg/m³,2016-11-07T23:45:00Z
646.9,pm25,µg/m³,2016-11-08T00:00:00Z
646.9,pm25,µg/m³,2016-11-08T00:15:00Z
646.9,pm25,µg/m³,2016-11-08T00:30:00Z
581.3,pm25,µg/m³,2016-11-08T00:45:00Z
578.9,pm25,µg/m³,2016-11-08T01:00:00Z
578.9,pm25,µg/m³,2016-11-08T01:15:00Z
578.9,pm25,µg/m³,2016-11-08T01:30:00Z
627.6,pm25,µg/m³,2016-11-08T01:45:00Z
629.3,pm25,µg/m³,2016-11-08T02:00:00Z
629.3,pm25,µg/m³,2016-11-08T02:15:00Z
629.3,pm25,µg/m³,2016-11-08T02:30:00Z
547.4,pm25,µg/m³,2016-11-08T02:45:00Z
544.5,pm25,µg/m³,2016-11-08T03:00:00Z
544.5,pm25,µg/m³,2016-11-08T03:15:00Z
544.5,pm25,µg/m³,2016-11-08T03:30:00Z
452.6,pm25,µg/m³,2016-11-08T03:45:00Z
449.3,pm25,µg/m³,2016-11-08T04:00:00Z
449.3,pm25,µg/m³,2016-11-08T04:15:00Z
449.3,pm25,µg/m³,2016-11-08T04:30:00Z
375.6,pm25,µg/m³,2016-11-08T04:45:00Z
373.0,pm25,µg/m³,2016-11-08T05:00:00Z
373.0,pm25,µg/m³,2016-11-08T05:15:00Z
301.2,pm25,µg/m³,2016-11-08T06:00:00Z
301.2,pm25,µg/m³,2016-11-08T06:30:00Z
227.5,pm25,µg/m³,2016-11-08T06:45:00Z
224.8,pm25,µg/m³,2016-11-08T07:00:00Z
224.8,pm25,µg/m³,2016-11-08T07:15:00Z
224.8,pm25,µg/m³,2016-11-08T07:30:00Z
164.5,pm25,µg/m³,2016-11-08T07:45:00Z
162.4,pm25,µg/m³,2016-11-08T08:00:00Z
162.4,pm25,µg/m³,2016-11-08T08:15:00Z
162.4,pm25,µg/m³,2016-11-08T08:30:00Z
150.2,pm25,µg/m³,2016-11-08T08:45:00Z
149.8,pm25,µg/m³,2016-11-08T09:00:00Z
149.8,pm25,µg/m³,2016-11-08T09:15:00Z
149.8,pm25,µg/m³,2016-11-08T09:30:00Z
163.7,pm25,µg/m³,2016-11-08T09:45:00Z
164.2,pm25,µg/m³,2016-11-08T10:00:00Z
164.2,pm25,µg/m³,2016-11-08T10:15:00Z
164.2,pm25,µg/m³,2016-11-08T10:30:00Z
165.8,pm25,µg/m³,2016-11-08T10:45:00Z
165.9,pm25,µg/m³,2016-11-08T11:00:00Z
165.9,pm25,µg/m³,2016-11-08T11:15:00Z
165.9,pm25,µg/m³,2016-11-08T11:30:00Z
272.7,pm25,µg/m³,2016-11-08T11:45:00Z
276.6,pm25,µg/m³,2016-11-08T12:00:00Z
276.6,pm25,µg/m³,2016-11-08T12:15:00Z
276.6,pm25,µg/m³,2016-11-08T12:30:00Z
339.7,pm25,µg/m³,2016-11-08T12:45:00Z
342.0,pm25,µg/m³,2016-11-08T13:00:00Z
342.0,pm25,µg/m³,2016-11-08T13:15:00Z
342.0,pm25,µg/m³,2016-11-08T13:30:00Z
463.3,pm25,µg/m³,2016-11-08T13:45:00Z
467.7,pm25,µg/m³,2016-11-08T14:00:00Z
467.7,pm25,µg/m³,2016-11-08T14:15:00Z
467.7,pm25,µg/m³,2016-11-08T14:30:00Z
392.3,pm25,µg/m³,2016-11-08T14:45:00Z
389.6,pm25,µg/m³,2016-11-08T15:00:00Z
389.6,pm25,µg/m³,2016-11-08T15:15:00Z
389.6,pm25,µg/m³,2016-11-08T15:30:00Z
449.3,pm25,µg/m³,2016-11-08T15:45:00Z
451.5,pm25,µg/m³,2016-11-08T16:00:00Z
451.5,pm25,µg/m³,2016-11-08T16:15:00Z
451.5,pm25,µg/m³,2016-11-08T16:30:00Z
532.9,pm25,µg/m³,2016-11-08T16:45:00Z
535.9,pm25,µg/m³,2016-11-08T17:00:00Z
535.9,pm25,µg/m³,2016-11-08T17:15:00Z
466.4,pm25,µg/m³,2016-11-08T17:30:00Z
506.3,pm25,µg/m³,2016-11-08T18:30:00Z
533.9,pm25,µg/m³,2016-11-08T18:45:00Z
534.9,pm25,µg/m³,2016-11-08T19:00:00Z
534.9,pm25,µg/m³,2016-11-08T19:15:00Z
534.9,pm25,µg/m³,2016-11-08T19:30:00Z
518.1,pm25,µg/m³,2016-11-08T19:45:00Z
517.5,pm25,µg/m³,2016-11-08T20:00:00Z
517.5,pm25,µg/m³,2016-11-08T20:15:00Z
517.5,pm25,µg/m³,2016-11-08T20:30:00Z
551.5,pm25,µg/m³,2016-11-08T20:45:00Z
552.7,pm25,µg/m³,2016-11-08T21:00:00Z
552.7,pm25,µg/m³,2016-11-08T21:15:00Z
552.7,pm25,µg/m³,2016-11-08T21:30:00Z
582.4,pm25,µg/m³,2016-11-08T21:45:00Z
583.5,pm25,µg/m³,2016-11-08T22:00:00Z
583.5,pm25,µg/m³,2016-11-08T22:15:00Z
583.5,pm25,µg/m³,2016-11-08T22:30:00Z
552.7,pm25,µg/m³,2016-11-08T22:45:00Z
551.6,pm25,µg/m³,2016-11-08T23:00:00Z
551.6,pm25,µg/m³,2016-11-08T23:15:00Z
551.6,pm25,µg/m³,2016-11-08T23:30:00Z
501.9,pm25,µg/m³,2016-11-08T23:45:00Z
500.1,pm25,µg/m³,2016-11-09T00:00:00Z
500.1,pm25,µg/m³,2016-11-09T00:15:00Z
500.1,pm25,µg/m³,2016-11-09T00:30:00Z
481.0,pm25,µg/m³,2016-11-09T00:45:00Z
480.3,pm25,µg/m³,2016-11-09T01:00:00Z
480.3,pm25,µg/m³,2016-11-09T01:15:00Z
480.3,pm25,µg/m³,2016-11-09T01:30:00Z
494.4,pm25,µg/m³,2016-11-09T01:45:00Z
494.9,pm25,µg/m³,2016-11-09T02:00:00Z
494.9,pm25,µg/m³,2016-11-09T02:15:00Z
494.9,pm25,µg/m³,2016-11-09T02:30:00Z
488.4,pm25,µg/m³,2016-11-09T02:45:00Z
488.2,pm25,µg/m³,2016-11-09T03:00:00Z
488.2,pm25,µg/m³,2016-11-09T03:15:00Z
488.2,pm25,µg/m³,2016-11-09T03:30:00Z
471.7,pm25,µg/m³,2016-11-09T03:45:00Z
471.1,pm25,µg/m³,2016-11-09T04:00:00Z
471.1,pm25,µg/m³,2016-11-09T04:15:00Z
471.1,pm25,µg/m³,2016-11-09T04:30:00Z
424.5,pm25,µg/m³,2016-11-09T04:45:00Z
422.8,pm25,µg/m³,2016-11-09T05:00:00Z
422.8,pm25,µg/m³,2016-11-09T05:15:00Z
422.8,pm25,µg/m³,2016-11-09T05:30:00Z
287.7,pm25,µg/m³,2016-11-09T06:45:00Z
284.5,pm25,µg/m³,2016-11-09T07:00:00Z
284.5,pm25,µg/m³,2016-11-09T07:15:00Z
284.5,pm25,µg/m³,2016-11-09T07:30:00Z
233.1,pm25,µg/m³,2016-11-09T07:45:00Z
231.3,pm25,µg/m³,2016-11-09T08:00:00Z
231.3,pm25,µg/m³,2016-11-09T08:15:00Z
231.3,pm25,µg/m³,2016-11-09T08:30:00Z
175.9,pm25,µg/m³,2016-11-09T08:45:00Z
173.9,pm25,µg/m³,2016-11-09T09:00:00Z
173.9,pm25,µg/m³,2016-11-09T09:15:00Z
173.9,pm25,µg/m³,2016-11-09T09:30:00Z
163.1,pm25,µg/m³,2016-11-09T09:45:00Z
162.7,pm25,µg/m³,2016-11-09T10:00:00Z
162.7,pm25,µg/m³,2016-11-09T10:15:00Z
162.7,pm25,µg/m³,2016-11-09T10:30:00Z
159.6,pm25,µg/m³,2016-11-09T10:45:00Z
159.5,pm25,µg/m³,2016-11-09T11:00:00Z
159.5,pm25,µg/m³,2016-11-09T11:15:00Z
159.5,pm25,µg/m³,2016-11-09T11:30:00Z
204.0,pm25,µg/m³,2016-11-09T11:45:00Z
206.2,pm25,µg/m³,2016-11-09T12:00:00Z
206.2,pm25,µg/m³,2016-11-09T12:15:00Z
206.2,pm25,µg/m³,2016-11-09T12:30:00Z
206.2,pm25,µg/m³,2016-11-09T12:45:00Z
348.1,pm25,µg/m³,2016-11-09T13:45:00Z
348.1,pm25,µg/m³,2016-11-09T14:00:00Z
348.1,pm25,µg/m³,2016-11-09T14:15:00Z
348.1,pm25,µg/m³,2016-11-09T14:30:00Z
436.2,pm25,µg/m³,2016-11-09T14:45:00Z
440.5,pm25,µg/m³,2016-11-09T15:00:00Z
440.5,pm25,µg/m³,2016-11-09T15:15:00Z
440.5,pm25,µg/m³,2016-11-09T15:30:00Z
437.0,pm25,µg/m³,2016-11-09T15:45:00Z
436.8,pm25,µg/m³,2016-11-09T16:00:00Z
436.8,pm25,µg/m³,2016-11-09T16:15:00Z
436.8,pm25,µg/m³,2016-11-09T16:30:00Z
465.0,pm25,µg/m³,2016-11-09T16:45:00Z
466.4,pm25,µg/m³,2016-11-09T17:00:00Z
466.4,pm25,µg/m³,2016-11-09T17:15:00Z
467.4,pm25,µg/m³,2016-11-09T17:30:00Z
513.3,pm25,µg/m³,2016-11-09T17:45:00Z
515.0,pm25,µg/m³,2016-11-09T18:00:00Z
515.0,pm25,µg/m³,2016-11-09T18:15:00Z
515.0,pm25,µg/m³,2016-11-09T18:30:00Z
557.6,pm25,µg/m³,2016-11-09T18:45:00Z
559.2,pm25,µg/m³,2016-11-09T19:00:00Z
559.2,pm25,µg/m³,2016-11-09T19:15:00Z
559.2,pm25,µg/m³,2016-11-09T19:30:00Z
542.0,pm25,µg/m³,2016-11-09T19:45:00Z
541.4,pm25,µg/m³,2016-11-09T20:00:00Z
541.4,pm25,µg/m³,2016-11-09T20:15:00Z
541.4,pm25,µg/m³,2016-11-09T20:30:00Z
542.9,pm25,µg/m³,2016-11-09T20:45:00Z
543.0,pm25,µg/m³,2016-11-09T21:00:00Z
543.0,pm25,µg/m³,2016-11-09T21:15:00Z
543.0,pm25,µg/m³,2016-11-09T21:30:00Z
564.0,pm25,µg/m³,2016-11-09T21:45:00Z
564.8,pm25,µg/m³,2016-11-09T22:00:00Z
564.8,pm25,µg/m³,2016-11-09T22:15:00Z
564.8,pm25,µg/m³,2016-11-09T22:30:00Z
515.1,pm25,µg/m³,2016-11-09T22:45:00Z
513.3,pm25,µg/m³,2016-11-09T23:00:00Z
513.3,pm25,µg/m³,2016-11-09T23:15:00Z
513.3,pm25,µg/m³,2016-11-09T23:30:00Z
441.4,pm25,µg/m³,2016-11-09T23:45:00Z
438.8,pm25,µg/m³,2016-11-10T00:00:00Z
438.8,pm25,µg/m³,2016-11-10T00:15:00Z
438.8,pm25,µg/m³,2016-11-10T00:30:00Z
374.6,pm25,µg/m³,2016-11-10T00:45:00Z
371.5,pm25,µg/m³,2016-11-10T01:00:00Z
371.5,pm25,µg/m³,2016-11-10T01:15:00Z
371.5,pm25,µg/m³,2016-11-10T01:30:00Z
253.8,pm25,µg/m³,2016-11-10T01:45:00Z
248.1,pm25,µg/m³,2016-11-10T02:00:00Z
248.1,pm25,µg/m³,2016-11-10T02:15:00Z
248.1,pm25,µg/m³,2016-11-10T02:30:00Z
253.1,pm25,µg/m³,2016-11-10T02:45:00Z
253.4,pm25,µg/m³,2016-11-10T03:00:00Z
253.4,pm25,µg/m³,2016-11-10T03:15:00Z
253.4,pm25,µg/m³,2016-11-10T03:30:00Z
289.4,pm25,µg/m³,2016-11-10T03:45:00Z
291.2,pm25,µg/m³,2016-11-10T04:00:00Z
291.2,pm25,µg/m³,2016-11-10T04:15:00Z
291.2,pm25,µg/m³,2016-11-10T04:30:00Z
330.5,pm25,µg/m³,2016-11-10T04:45:00Z
331.9,pm25,µg/m³,2016-11-10T05:00:00Z
331.9,pm25,µg/m³,2016-11-10T05:15:00Z
331.9,pm25,µg/m³,2016-11-10T05:30:00Z
317.6,pm25,µg/m³,2016-11-10T07:00:00Z
317.6,pm25,µg/m³,2016-11-10T07:15:00Z
317.6,pm25,µg/m³,2016-11-10T07:30:00Z
321.8,pm25,µg/m³,2016-11-10T07:45:00Z
322.0,pm25,µg/m³,2016-11-10T08:00:00Z
321.3,pm25,µg/m³,2016-11-10T09:15:00Z
321.3,pm25,µg/m³,2016-11-10T09:30:00Z
319.0,pm25,µg/m³,2016-11-10T09:45:00Z
318.9,pm25,µg/m³,2016-11-10T10:00:00Z
318.9,pm25,µg/m³,2016-11-10T10:15:00Z
318.9,pm25,µg/m³,2016-11-10T10:30:00Z
263.8,pm25,µg/m³,2016-11-10T10:45:00Z
261.2,pm25,µg/m³,2016-11-10T11:00:00Z
261.2,pm25,µg/m³,2016-11-10T11:15:00Z
261.2,pm25,µg/m³,2016-11-10T11:30:00Z
271.7,pm25,µg/m³,2016-11-10T11:45:00Z
272.2,pm25,µg/m³,2016-11-10T12:00:00Z
272.2,pm25,µg/m³,2016-11-10T12:15:00Z
272.2,pm25,µg/m³,2016-11-10T12:30:00Z
306.2,pm25,µg/m³,2016-11-10T12:45:00Z
307.9,pm25,µg/m³,2016-11-10T13:00:00Z
307.9,pm25,µg/m³,2016-11-10T13:15:00Z
307.9,pm25,µg/m³,2016-11-10T13:30:00Z
425.1,pm25,µg/m³,2016-11-10T13:45:00Z
430.8,pm25,µg/m³,2016-11-10T14:00:00Z
430.8,pm25,µg/m³,2016-11-10T14:15:00Z
430.8,pm25,µg/m³,2016-11-10T14:30:00Z
499.1,pm25,µg/m³,2016-11-10T14:45:00Z
502.4,pm25,µg/m³,2016-11-10T15:00:00Z
502.4,pm25,µg/m³,2016-11-10T15:15:00Z
502.4,pm25,µg/m³,2016-11-10T15:30:00Z
509.7,pm25,µg/m³,2016-11-10T15:45:00Z
510.1,pm25,µg/m³,2016-11-10T16:00:00Z
510.1,pm25,µg/m³,2016-11-10T16:15:00Z
510.1,pm25,µg/m³,2016-11-10T16:30:00Z
531.8,pm25,µg/m³,2016-11-10T17:30:00Z
516.0,pm25,µg/m³,2016-11-10T17:45:00Z
518.3,pm25,µg/m³,2016-11-10T18:00:00Z
518.3,pm25,µg/m³,2016-11-10T18:15:00Z
518.3,pm25,µg/m³,2016-11-10T18:30:00Z
492.1,pm25,µg/m³,2016-11-10T18:45:00Z
490.9,pm25,µg/m³,2016-11-10T19:00:00Z
490.9,pm25,µg/m³,2016-11-10T19:15:00Z
490.9,pm25,µg/m³,2016-11-10T19:30:00Z
592.1,pm25,µg/m³,2016-11-10T19:45:00Z
597.1,pm25,µg/m³,2016-11-10T20:00:00Z
597.1,pm25,µg/m³,2016-11-10T20:15:00Z
597.1,pm25,µg/m³,2016-11-10T20:30:00Z
543.1,pm25,µg/m³,2016-11-10T20:45:00Z
540.5,pm25,µg/m³,2016-11-10T21:00:00Z
540.5,pm25,µg/m³,2016-11-10T21:15:00Z
540.5,pm25,µg/m³,2016-11-10T21:30:00Z
481.7,pm25,µg/m³,2016-11-10T21:45:00Z
478.9,pm25,µg/m³,2016-11-10T22:00:00Z
478.9,pm25,µg/m³,2016-11-10T22:15:00Z
478.9,pm25,µg/m³,2016-11-10T22:30:00Z
454.7,pm25,µg/m³,2016-11-10T22:45:00Z
453.5,pm25,µg/m³,2016-11-10T23:00:00Z
453.5,pm25,µg/m³,2016-11-10T23:15:00Z
453.5,pm25,µg/m³,2016-11-10T23:30:00Z
442.3,pm25,µg/m³,2016-11-10T23:45:00Z
441.8,pm25,µg/m³,2016-11-11T00:00:00Z
441.8,pm25,µg/m³,2016-11-11T00:15:00Z
441.8,pm25,µg/m³,2016-11-11T00:30:00Z
439.2,pm25,µg/m³,2016-11-11T00:45:00Z
439.1,pm25,µg/m³,2016-11-11T01:00:00Z
439.1,pm25,µg/m³,2016-11-11T01:15:00Z
439.1,pm25,µg/m³,2016-11-11T01:30:00Z
431.0,pm25,µg/m³,2016-11-11T01:45:00Z
430.6,pm25,µg/m³,2016-11-11T02:00:00Z
430.6,pm25,µg/m³,2016-11-11T02:15:00Z
430.6,pm25,µg/m³,2016-11-11T02:30:00Z
476.3,pm25,µg/m³,2016-11-11T02:45:00Z
478.5,pm25,µg/m³,2016-11-11T03:00:00Z
478.5,pm25,µg/m³,2016-11-11T03:15:00Z
478.5,pm25,µg/m³,2016-11-11T03:30:00Z
616.5,pm25,µg/m³,2016-11-11T03:45:00Z
623.2,pm25,µg/m³,2016-11-11T04:00:00Z
623.2,pm25,µg/m³,2016-11-11T04:15:00Z
623.2,pm25,µg/m³,2016-11-11T04:30:00Z
415.8,pm25,µg/m³,2016-11-11T04:45:00Z
274.6,pm25,µg/m³,2016-11-11T05:45:00Z
268.3,pm25,µg/m³,2016-11-11T06:00:00Z
268.3,pm25,µg/m³,2016-11-11T06:15:00Z
268.3,pm25,µg/m³,2016-11-11T06:30:00Z
246.4,pm25,µg/m³,2016-11-11T06:45:00Z
245.4,pm25,µg/m³,2016-11-11T07:00:00Z
245.4,pm25,µg/m³,2016-11-11T07:15:00Z
245.4,pm25,µg/m³,2016-11-11T07:30:00Z
246.8,pm25,µg/m³,2016-11-11T07:45:00Z
246.9,pm25,µg/m³,2016-11-11T08:00:00Z
246.9,pm25,µg/m³,2016-11-11T08:15:00Z
246.9,pm25,µg/m³,2016-11-11T08:30:00Z
219.8,pm25,µg/m³,2016-11-11T08:45:00Z
218.5,pm25,µg/m³,2016-11-11T09:00:00Z
218.5,pm25,µg/m³,2016-11-11T09:15:00Z
218.5,pm25,µg/m³,2016-11-11T09:30:00Z
213.7,pm25,µg/m³,2016-11-11T09:45:00Z
